Location,Production,Startup,Lat,Lng,
Linthals Tierfehd,261,1964, 46.8784824, 8.9820654,
Linthals Tierfehd,140,2010, 46.8784824, 8.9820654,
Linthals Tierfehd,42,1964, 46.8784824, 8.9820654,
Linthal,34.4,1964, 46.9218287, 8.9996438,
Linthal,15,1950, 46.9218287, 8.9996438,
Linthal,0.5,1900, 46.9218287, 8.9996438,
Linthal,1.6,1877, 46.9218287, 8.9996438,
Linthals Stachelberg,3.9,1921, 46.92772660000001, 9.0011233,
Braunwald,0.93,2014, 46.9393043, 8.9981219,
Rüti,0.36,1901, 47.2566995, 8.854421,
Rütis Gmde Glarus Süd,2.53,2017, 46.9368871, 9.016067000000001,
Diesbach,0.93,1945, 46.916667, 9.049999999999999,
Hätzingen,1.05,1850, 46.95, 9.033332999999999,
Luchsingen,3.5,1940, 46.9672905, 9.036788999999999,
Leuggelbach,1,1930, 46.966667, 9.0499999,
Haslen,0.92,1848, 46.9808737, 9.055884299999999,
Schwanden,0.9,1828, 46.9941626, 9.073914499999999,
Elm,0.33,1995, 46.91979569999999, 9.172340499999999,
Matt,0.64,1902, 46.9578717, 9.1715862,
Engi (Glarus Süd),0.53,2012, 46.9821094, 9.153222699999999,
Engis Vorderdorf (Glarus Süd),3.75,2009, 46.9821094, 9.153222699999999,
Schwanden,15.7,1931, 46.9941626, 9.073914499999999,
Schwanden,28.2,1931, 46.9941626, 9.073914499999999,
Schwanden,1.8,1899, 46.9941626, 9.073914499999999,
Schwanden,0.5,1908, 46.9941626, 9.073914499999999,
Mitlödi,4,2018, 47.0106005, 9.0799644,
Mitlödi (Glarus Süd),0.85,2016, 47.0106005, 9.0799644,
Ennenda,0.82,1920, 47.0338781, 9.077552899999999,
Mitlödis Gmde. Glarus Süd,0.55,2016, 47.0106005, 9.0799644,
Ennendas Alpenbrüggli,0.32,2011, 47.0508495, 9.0690901,
Netstal,0.8,1912, 47.0633697, 9.0550398,
Netstal,89.1,1908, 47.0633697, 9.0550398,
Netstal,1.42,1923, 47.0633697, 9.0550398,
Mels,0.99,1906, 47.0478375, 9.4224018,
Melss Steigs,3.3,1931, 46.818188, 8.227511999999999,
Mels,0.55,1878, 47.0478375, 9.4224018,
Mels,1.76,2018, 47.0478375, 9.4224018,
Plonss Gmde. Mels,4.5,1948, 47.0478375, 9.4224018,
Flums,5.07,1901, 47.09164610000001, 9.3425546,
Flums,0.7,1943, 47.09164610000001, 9.3425546,
Flumss Rüfi,0.34,1890, 47.1811841, 9.0508609,
Flums,1.48,1866, 47.09164610000001, 9.3425546,
Walenstadt,3.14,2019, 47.12398, 9.31603,
Flums,1.19,1974, 47.09164610000001, 9.3425546,
Töbeli,0.6,1895, 47.516667, 9.033332999999999,
Molss Tal,0.75,1954, 46.818188, 8.227511999999999,
Oberterzen,1.16,1927, 47.102403, 9.255855000000002,
Murgtals Merlen,0.41,1950, 47.5061724, 8.941068999999999,
Murgtals Unter Plätz,0.52,1935, 46.818188, 8.227511999999999,
Murgtals Unter Plätz,6.5,1994, 46.818188, 8.227511999999999,
Murgtals Unter Plätz,2.3,1959, 46.818188, 8.227511999999999,
Murgs unterhalb Gödis,2.8,1909, 47.1133597, 9.2159097,
Murg,2.32,1836, 47.5061724, 8.941068999999999,
Amdens Muslen,1.63,1908, 47.1380727, 9.1355582,
Rütiberg / Näfels,0.89,1961, 47.0920934, 9.0345532,
Rütiberg / Näfels,0.85,1977, 47.0920934, 9.0345532,
Näfels,4.5,1925, 47.0993576, 9.0677737,
Niederurnen,2.22,1903, 47.125507, 9.0531505,
Ziegelbrücke,0.58,1837, 47.1339, 9.0613,
Uznach,0.51,2015, 47.2243722, 8.9841417,
Vorderthals Rempen,66.24,1926, 47.1393237, 8.899421499999999,
Siebnen,51.52,1926, 47.1744948, 8.897176,
Galgenens Vorauen,0.3,1863, 47.18267729999999, 8.8578858,
Rüti,0.56,1920, 47.2566995, 8.854421,
Altendorf,135,1937, 47.1914822, 8.829904299999999,
Bäch,0.3,1957, 47.199995, 8.716671999999999,
Schindellegi,0.87,1869, 47.1748077, 8.712788699999999,
Wollerau,1.45,1961, 47.19717, 8.713379999999999,
Schönenberg,2.8,1895, 47.1932312, 8.644027,
Zürich,0.64,1860, 47.3768866, 8.541694,
Zürich,5,1877, 47.3768866, 8.541694,
Zürich,1.4,1898, 47.3768866, 8.541694,
Dietikon,2.94,1933, 47.4053885, 8.39977,
Wettingen,2.1,2007, 47.4659503, 8.3265988,
Wettingen,25.35,1933, 47.4659503, 8.3265988,
Baden,0.5,2013, 47.47288, 8.30809,
Baden,5.2,1909, 47.47288, 8.30809,
Badens Chappelerhof,7,1892, 47.4834769, 8.2854204,
Untersiggenthals Schiffmüli,0.38,2013, 47.4978612, 8.2638309,
Untersiggenthals Schiffmüli,3.3,1896, 47.4978612, 8.2638309,
Turgi,1,1902, 47.4887974, 8.2547897,
Turgi,0.9,1861, 47.4887974, 8.2547897,
Untersiggenthal,0.8,1864, 47.4978612, 8.2638309,
Hätzingen,1.06,2016, 46.95, 9.033332999999999,
Ulrichens Altstafel,9.67,1967, 46.5312148, 8.327779999999999,
Oberwalds St. Niklaus,14.3,2017, 46.532881, 8.345476399999999,
Ulrichens zum Loch,2.35,2014, 46.50347, 8.3178,
Münsters Moos,1.99,1959, 46.486934, 8.263605,
Wilers Münster-Geschinen,0.86,2016, 46.4873503, 8.2638032,
Reckingen,2.13,1990, 46.4695173, 8.2451355,
Grafschaft,3.64,2013, 46.4553356, 8.2169557,
Rappental,1.2,1965, 46.818188, 8.227511999999999,
Neubrigg,26,1965, 46.818188, 8.227511999999999,
Fieschertal,64,1975, 46.4245787, 8.143049,
Fiesch,3.1,2012, 46.4014491, 8.1333135,
Niederernen,33,1954, 46.393056, 8.136111,
Heiligkreuzs Längtal,1.25,1969, 46.3500989, 8.176441,
Heiligkreuz,41,1971, 46.9461658, 8.0561115,
