Wuppenau, 9514, undefined, undefined,
Schüpfheim, 6170, undefined, undefined,
Lützelflüh-Goldbach, 3432, undefined, undefined,
Bargen, 8233, undefined, undefined,
Kriegstetten, 4566, undefined, undefined,
Les Brenets, 2416, undefined, undefined,
Gasel, 3144, undefined, undefined,
Hergiswil b. Willisau, 6133, undefined, undefined,
Aigle, 1860, undefined, undefined,
Lanzenhäusern, 3148, undefined, undefined,
Choulex, 1244, undefined, undefined,
Abtwil, 9030, undefined, undefined,
Willisau, 6130, undefined, undefined,
Sins, 5643, undefined, undefined,
Romanshorn, 8590, undefined, undefined,
Schaffhausen, 8200, undefined, undefined,
Dornach, 4143, undefined, undefined,
Schänis, 8718, undefined, undefined,
Rickenbach, 6432, undefined, undefined,
Basel, 4058, undefined, undefined,
Bern, 3018, 46.94049, 7.39065,
Zweisimmen, 3770, undefined, undefined,
Full-Reuenthal, 5324, undefined, undefined,
Arosa, 7050, undefined, undefined,
Schötz, 6247, undefined, undefined,
Birsfelden, 4127, undefined, undefined,
Marbach, 9437, undefined, undefined,
Walenstadt, 8880, undefined, undefined,
Oberwil bei Zug, 6317, 47.14755, 8.50780,
Urswil, 6280, undefined, undefined,
Wisen, 4634, undefined, undefined,
Waltenschwil, 5622, undefined, undefined,
Egolzwil, 6243, undefined, undefined,
Niederurnen, 8867, undefined, undefined,
Taegerwilen, 8274, undefined, undefined,
Eggersriet, 9034, undefined, undefined,
Schüpfheim, 6170, undefined, undefined,
Muhen, 5037, undefined, undefined,
Cugy, 1053, undefined, undefined,
Ziegelbrücke, 8866, undefined, undefined,
Neudorf, 6025, undefined, undefined,
Unterentfelden, 5035, 47.38071, 8.09144,
Dreifachturnhalle Maihof, 8834, undefined, undefined,
Ruswil, 6017, undefined, undefined,
Schenkon, 6214, undefined, undefined,
Littau, 6014, undefined, undefined,
Bern, 3006, undefined, undefined,
Langnau, 3550, undefined, undefined,
Ennetmoos, 6372, undefined, undefined,
Finsterwald, 6162, undefined, undefined,
Bichwil, 9248, undefined, undefined,
Gümmenen, 3205, 46.94560, 7.24090,
Hinwil, 8340, undefined, undefined,
Nidau, 2560, undefined, undefined,
Gelfingen, 6284, undefined, undefined,
Engelburg, 9032, undefined, undefined,
Lanzenneunforn, 8506, 47.62267, 8.93856,
Ehrendingen, 5420, 25.69740, 89.30100,
Suberg, 3262, undefined, undefined,
Hergiswil, 6133, undefined, undefined,
Thun, 3600, undefined, undefined,
Zürich, 8055, undefined, undefined,
St.Gallen, 9015, undefined, undefined,
Cressier, 1785, undefined, undefined,
Gasel, 3144, undefined, undefined,
Arlesheim, 4144, undefined, undefined,
Rheinklingen, 8259, 47.65976, 8.85019,
Meikirch, 3045, undefined, undefined,
Donat, 7433, undefined, undefined,
Engishofen, 8586, undefined, undefined,
Oschwand, 3476, undefined, undefined,
Sternenberg, 8499, undefined, undefined,
Windisch, 5210, undefined, undefined,
Eichberg, 9453, undefined, undefined,
Ebnat-Kappel, 9642, 47.26153, 9.13214,
Wil, 8196, undefined, undefined,
Madiswil, 4934, undefined, undefined,
St. Gallen, 9014, undefined, undefined,
Grosswangen, 6022, undefined, undefined,
Zug, 6300, undefined, undefined,
Raron, 3942, undefined, undefined,
Neftenbach, 8413, undefined, undefined,
St.Moritz, 7500, undefined, undefined,
Niederönz, 3362, undefined, undefined,
Wil, 9500, undefined, undefined,
Le Cerneux-Veusil, 2345, 47.17940, 6.96690,
Azmoos, 9478, undefined, undefined,
Zizers, 7205, undefined, undefined,
Surrein, 7173, undefined, undefined,
Ebnat-Kappel, 9642, undefined, undefined,
Steinach, 9323, undefined, undefined,
Rupperswil, 5102, undefined, undefined,
Säriswil, 3049, 46.99180, 7.33420,
Sempach, 6204, undefined, undefined,
Schlossrued, 5044, undefined, undefined,
Hugelshofen, 8565, undefined, undefined,
Kägiswil, 6056, 46.92080, 8.26210,
Rüdtligen, 3422, undefined, undefined,
Bonstetten, 8906, undefined, undefined,
