"Anlage_Energieträger","Anlagentyp","Leistung [kW]","Anlage_Inbetriebnahme","PLZ","Ort","Anlage_Kanto"
"Photovoltaik","Angebaute Anlage","171.6","29.09.15","1717","St. Ursen","FR"
"Photovoltaik","Angebaute Anlage","171.7","29.11.13","8955","Oetwil a. d. Limmat","ZH"
"Photovoltaik","Angebaute Anlage","171.8","27.12.11","2034","Peseux","NE"
"Photovoltaik","Angebaute Anlage","172","15.09.11","4450","Sissach","BL"
"Photovoltaik","Angebaute Anlage","172","15.09.11","4450","Sissach","BL"
"Photovoltaik","Angebaute Anlage","172.8","19.12.13","5622","Waltenschwil","AG"
"Photovoltaik","Integrierte Anlage","173.2","08.11.11","9402","Mörschwil","SG"
"Photovoltaik","Integrierte Anlage","173.4","19.08.08","1860","Aigle","VD"
"Photovoltaik","Angebaute Anlage","173.5","22.03.16","5622","Waltenschwil","AG"
"Photovoltaik","Integrierte Anlage","173.6","16.06.11","7078","Lenzerheide","GR"
"Photovoltaik","Angebaute Anlage","173.8","21.12.12","1806","St-Légier-La Chiésaz","VD"
"Photovoltaik","Angebaute Anlage","173.9","30.09.15","5645","Fenkrieden","AG"
"Photovoltaik","Integrierte Anlage","174","15.12.11","8934","Knonau","ZH"
"Photovoltaik","Angebaute Anlage","174.4","15.07.12","3600","Thun","BE"
"Photovoltaik","Angebaute Anlage","174.5","18.10.11","5618","Bettwil","AG"
"Photovoltaik","Angebaute Anlage","174.6","13.09.11","9108","Gonten","AI"
"Photovoltaik","Integrierte Anlage","174.7","23.02.12","8162","Steinmaur","ZH"
"Photovoltaik","Angebaute Anlage","174.7","27.08.12","2882","St.Ursanne","JU"
"Photovoltaik","Angebaute Anlage","174.7","05.01.15","8572","Berg","TG"
"Photovoltaik","Angebaute Anlage","175.4","31.10.14","6018","Buttisholz","LU"
"Photovoltaik","Angebaute Anlage","175.8","22.12.14","1428","Provence","VD"
"Photovoltaik","Angebaute Anlage","176.4","28.10.13","6017","Ruswil","LU"
"Photovoltaik","Angebaute Anlage","176.5","24.03.16","6166","Hasle","LU"
"Photovoltaik","Angebaute Anlage","176.5","24.09.15","9053","Teufen","AR"
"Photovoltaik","Angebaute Anlage","177.1","06.12.13","6072","Sachseln","OW"
"Photovoltaik","Angebaute Anlage","177.2","26.01.17","8564","Engwilen","TG"
"Photovoltaik","Angebaute Anlage","177.4","09.08.11","9116","Wolfertswil","SG"
"Photovoltaik","Angebaute Anlage","177.4","25.11.13","8374","Dussnang","TG"
"Photovoltaik","Angebaute Anlage","177.6","19.06.12","8263","Buch","SH"
"Photovoltaik","Angebaute Anlage","177.7","23.12.11","4325","Schupfart","AG"
"Photovoltaik","Angebaute Anlage","177.9","23.12.11","6236","Wilihof","LU"
"Photovoltaik","Angebaute Anlage","178.3","13.03.09","3629","Kiesen","BE"
"Photovoltaik","Integrierte Anlage","178.3","20.12.11","5235","Rüfenach","AG"
"Photovoltaik","Integrierte Anlage","178.4","12.12.08","8450","Andelfingen","ZH"
"Photovoltaik","Angebaute Anlage","178.4","19.12.13","3173","Oberwangen","BE"
"Photovoltaik","Angebaute Anlage","178.7","25.05.12","6218","Ettiswil","LU"
"Photovoltaik","Angebaute Anlage","179.3","27.02.12","8330","Pfäffikon ZH","ZH"
"Photovoltaik","Angebaute Anlage","179.3","09.01.15","9562","Buch bei Märwil","TG"
"Photovoltaik","Angebaute Anlage","179.4","23.03.16","9326","Horn","TG"
"Photovoltaik","Angebaute Anlage","179.8","19.09.14","8112","Otelfingen","ZH"
"Photovoltaik","Angebaute Anlage","180","18.11.11","3235","Erlach","BE"
"Photovoltaik","Integrierte Anlage","180.6","04.12.14","3672","Oberdiessbach","BE"
"Photovoltaik","Integrierte Anlage","181","18.12.13","5242","Lupfig","AG"
"Photovoltaik","Angebaute Anlage","181","07.10.11","1510","Moudon","VD"
"Photovoltaik","Integrierte Anlage","181.4","28.02.12","7141","Luven","GR"
"Photovoltaik","Integrierte Anlage","181.7","30.11.11","8180","Bülach","ZH"
"Photovoltaik","Angebaute Anlage","182","17.11.10","5015","Erlinsbach","SO"
"Photovoltaik","Angebaute Anlage","182.1","20.12.13","6345","Neuheim","ZG"
"Photovoltaik","Angebaute Anlage","182.3","12.01.15","8465","Wildensbuch","ZH"
"Photovoltaik","Angebaute Anlage","182.3","03.12.09","6216","Mauensee","LU"
"Photovoltaik","Angebaute Anlage","182.3","15.09.14","6276","Hohenrain","LU"
"Photovoltaik","Angebaute Anlage","182.5","17.06.13","3303","Jegenstorf","BE"
"Photovoltaik","Angebaute Anlage","182.7","02.01.15","6221","Rickenbach","LU"
"Photovoltaik","Angebaute Anlage","183.6","28.06.15","9203","Niederwil","SG"
"Photovoltaik","Angebaute Anlage","183.7","24.05.12","3535","Erlach","BE"
"Photovoltaik","Angebaute Anlage","184","27.03.15","8577","Schönholzerswilen","TG"
"Photovoltaik","Angebaute Anlage","184.1","29.09.15","9475","Sevelen","SG"
"Photovoltaik","Angebaute Anlage","184.3","09.01.15","6242","Wauwil","LU"
"Photovoltaik","Angebaute Anlage","185.6","07.09.12","5703","Seon","AG"
"Photovoltaik","Angebaute Anlage","185.6","08.01.15","8576","Mauren","TG"
"Photovoltaik","Angebaute Anlage","185.9","04.12.13","9246","Niederbüren","SG"
"Photovoltaik","Angebaute Anlage","186.7","21.12.11","2803","Bourrignon","JU"
"Photovoltaik","Angebaute Anlage","186.8","04.09.15","6236","Wilihof","LU"
"Photovoltaik","Angebaute Anlage","187.2","30.12.11","9443","Widnau","SG"
"Photovoltaik","Angebaute Anlage","187.2","12.12.07","8107","Buchs","ZH"
"Photovoltaik","Angebaute Anlage","187.2","12.12.13","7302","Landquart","GR"
"Photovoltaik","Angebaute Anlage","187.9","21.11.13","5620","Bremgarten","AG"
"Photovoltaik","Angebaute Anlage","188.2","13.06.13","8820","Wädenswil","ZH"
"Photovoltaik","Angebaute Anlage","188.2","20.12.12","6343","Rotkreuz","ZG"
"Photovoltaik","Angebaute Anlage","189.2","20.11.12","8259","Rheinklingen","TG"
"Photovoltaik","Angebaute Anlage","189.4","21.12.11","8479","Altikon","ZH"
"Photovoltaik","Integrierte Anlage","189.6","28.12.11","5606","Dintikon","AG"
"Photovoltaik","Angebaute Anlage","189.8","24.09.14","7208","Malans","GR"
"Photovoltaik","Angebaute Anlage","190.1","19.05.16","8055","Zürich","ZH"
"Photovoltaik","Angebaute Anlage","190.6","19.12.12","1656","Jaun","FR"
"Photovoltaik","Angebaute Anlage","190.6","25.07.12","1725","Posieux","FR"
"Photovoltaik","Angebaute Anlage","190.6","22.12.11","9300","Wittenbach","SG"
"Photovoltaik","Integrierte Anlage","191.1","27.09.12","1410","Thierrens","VD"
"Photovoltaik","Integrierte Anlage","191.2","20.08.12","6019","Sigigen","LU"
"Photovoltaik","Angebaute Anlage","191.3","24.08.12","5600","Lenzburg","AG"
"Photovoltaik","Angebaute Anlage","191.8","06.12.13","8585","Herrenhof","TG"
"Photovoltaik","Angebaute Anlage","192","27.09.12","3966","Réchy","VS"
"Photovoltaik","Angebaute Anlage","192.3","11.11.11","1661","Le Pâquier","FR"
"Photovoltaik","Integrierte Anlage","192.3","27.12.13","1304","Cossonay","VD"
"Photovoltaik","Angebaute Anlage","192.7","11.07.14","9050","Appenzell","AI"
"Photovoltaik","Angebaute Anlage","192.7","07.12.11","8856","Tuggen","SZ"
"Photovoltaik","Angebaute Anlage","192.8","05.07.11","8376","Fischingen","TG"
"Photovoltaik","Angebaute Anlage","192.9","31.10.14","6020","Emmenbrücke","LU"
"Photovoltaik","Angebaute Anlage","193.6","20.08.12","5644","Auw","AG"
"Photovoltaik","Integrierte Anlage","194.1","18.12.13","1416","Pailly","VD"
"Photovoltaik","Angebaute Anlage","194.7","31.03.15","8374","Dussnang","TG"
"Photovoltaik","Integrierte Anlage","195","27.12.11","5622","Waltenschwil","AG"
"Photovoltaik","Angebaute Anlage","195","30.06.17","5634","Merenschwand","AG"
"Photovoltaik","Integrierte Anlage","195.1","08.04.09","6024","Hildisrieden","LU"
"Photovoltaik","Angebaute Anlage","195.4","18.07.12","8570","Weinfelden","TG"
"Photovoltaik","Integrierte Anlage","195.4","09.12.11","3043","Uettligen","BE"
"Photovoltaik","Angebaute Anlage","195.5","16.09.13","1950","Sion","VS"
"Photovoltaik","Integrierte Anlage","195.6","20.08.12","1618","Châtel-St.-Denis","FR"
"Photovoltaik","Angebaute Anlage","195.8","28.11.14","6030","Ebikon","LU"
"Photovoltaik","Angebaute Anlage","195.8","18.12.12","4702","Oensingen","SO"
"Photovoltaik","Angebaute Anlage","196","21.03.17","2544","Bettlach","SO"
"Photovoltaik","Angebaute Anlage","196.1","13.03.14","2340","Le Noirmont","JU"
"Photovoltaik","Angebaute Anlage","196.2","14.12.11","8266","Steckborn","TG"
"Photovoltaik","Angebaute Anlage","196.5","27.07.12","8404","Winterthur","ZH"
"Photovoltaik","Angebaute Anlage","196.7","16.11.11","3476","Oschwand","BE"
