"Location","Production","Startup",
"Gurzelen","26.5","2017",
"Chalais","26.5","2012",
"Trey","26.5","2009",
"Wölflinswil","26.5","2009",
"Veltheim","26.5","2011",
"Vuissens","26.5","2012",
"Steffisburg","26.5","2014",
"Kloten","26.5","2013",
"Schangnau","26.5","2014",
"Schangnau","26.5","2016",
"Brig","26.5","2016",
"Eichberg","26.5","2014",
"Thierachern","26.6","2012",
"Appenzell","26.6","2012",
"Fontenais","26.6","2011",
"Siselen","26.6","2007",
"Küblis","26.6","2011",
"Kernenried","26.6","2011",
"Winterthur","26.6","2011",
"Hinterforst","26.7","2007",
"Gunzwil","26.7","2011",
"Selzach","26.7","2012",
"Hombrechtikon","26.7","2015",
"Hergiswil b. Willisau","26.8","2011",
"Seedorf","26.8","2011",
"Plan-les-Ouates","26.9","2009",
"Le Lignon","26.9","2010",
"Gelfingen","26.9","2015",
"Rothenburg","26.9","2016",
"Lechelles","26.9","2008",
"Zimmerwald","26.9","2008",
"Sulz","26.9","2008",
"Gohl (BE)","26.9","2011",
"Wattenwil","26.9","2012",
"Kreuzlingen","26.9","2015",
"Gutenburg","2009.12",
"Grasswil","2005.09",
"Gerlafingen","2009.12",
"Gümmenen","2007.13",
"Zürich","2012.11",
"Münsingen","2012.11",
"Wölflinswil","2001.12",
"Murzelen","2007.12",
"Burgdorf","2011.11",
"Wil","2012.11",
"Spiegel b.Bern","2012.11",
"Sarnen","2004.11",
"Gonten","27.1","2016",
"Oberdiessbach","27.1","2012",
"Cudrefin","27.1","2009",
"Gams","27.1","2009",
"Waldkirch","27.1","2011",
"Mellikon","27.2","2010",
"Naters","27.3","2012",
"Provence","27.3","2009",
"Sigigen","27.3","2010",
"Luzein","27.3","2015",
"Röthenbach","27.3","2015",
"Muttenz","27.4","2011",
"Spiez","27.4","2013",
"Schmidrüti","27.4","2011",
"Ilanz","27.4","2015",
"Kilchberg","27.4","2011",
"Tenna","27.5","2011",
"Ayent","27.5","2012",
"Eschenbach","27.5","2009",
"Vattiz","27.5","2015",
