"Ort","Postleitzahl","Installierte Leistung in KW","Inbetriebnahme","ZE-Kanton"
""Galgenen"," Vorauen"",,"0.300","1863","Schwyz"
"Rüti",,"0.560","1920","Zürich"
"Altendorf",,"135.000","1937","Schwyz"
"Bäch",,"0.300","1957","Schwyz"
"Schindellegi",,"0.870","1869","Schwyz"
"Wollerau",,"1.450","1961","Schwyz"
"Schönenberg",,"2.800","1895","Zürich"
"Zürich",,"0.640","1860","Zürich"
"Zürich",,"5.000","1877","Zürich"
"Zürich",,"1.400","1898","Zürich"
"Dietikon",,"2.940","1933","Zürich"
"Wettingen",,"2.100","2007","Aargau"
"Wettingen",,"25.350","1933","Aargau"
"Baden",,"0.500","2013","Aargau"
"Baden",,"5.200","1909","Aargau"
""Baden"," Chappelerhof"",,"7.000","1892","Aargau"
""Untersiggenthal"," Schiffmüli"",,"0.380","2013","Aargau"
""Untersiggenthal"," Schiffmüli"",,"3.300","1896","Aargau"
"Turgi",,"1.000","1902","Aargau"
"Turgi",,"0.900","1861","Aargau"
"Untersiggenthal",,"0.800","1864","Aargau"
"Hätzingen",,"1.060","2016","Glarus"
""Ulrichen"," Altstafel"",,"9.670","1967","Wallis"
""Oberwald"," St. Niklaus"",,"14.300","2017","Wallis"
""Ulrichen"," zum Loch"",,"2.350","2014","Wallis"
""Münster"," Moos"",,"1.990","1959","Wallis"
""Wiler"," Münster-Geschinen"",,"0.860","2016","Wallis"
"Reckingen",,"2.130","1990","Wallis"
"Grafschaft",,"3.640","2013","Wallis"
"Rappental",,"1.200","1965","Wallis"
"Neubrigg",,"26.000","1965","Wallis"
"Fieschertal",,"64.000","1975","Wallis"
"Fiesch",,"3.100","2012","Wallis"
"Niederernen",,"33.000","1954","Wallis"
""Heiligkreuz"," Längtal"",,"1.250","1969","Wallis"
"Heiligkreuz",,"41.000","1971","Wallis"
"Mörel",,"35.300","1951","Wallis"
"Mörel",,"54.900","1943","Wallis"
"Bitsch",,"7.200","1899","Wallis"
""Bitsch"," Biel"",,"340.000","1969","Wallis"
"Naters",,"0.440","1900","Wallis"
""Mund"," In de Fäldu (Gem.Naters)"",,"1.440","2015","Wallis"
"Ried-Brig",,"2.350","1990","Wallis"
"Ried-Brig",,"0.550","2013","Wallis"
"Ried-Brig",,"5.010","1990","Wallis"
"Brig-Glis",,"6.100","1942","Wallis"
""Badhalte"," Brig-Glis"",,"1.440","2015","Wallis"
"Ried-Brig",,"0.450","1995","Wallis"
""Saas Almagell"," Zermeiggern"",,"74.000","1966","Wallis"
""Saas Almagell"," Zermeiggern"",,"0.000","1987","Wallis"
