Location,Production,Startup
Innerberg,26.4,08.11.11
Lourtier,26.4,10.05.11
Müntschemier,26.4,19.05.11
Freidorf,26.4,23.03.15
Deitingen,26.4,21.12.11
Schüpfheim bei Windlach,26.5,23.01.15
Gurzelen,26.5,22.06.17
Chalais,26.5,26.09.12
Trey,26.5,10.02.09
Wölflinswil,26.5,09.01.09
Veltheim,26.5,16.12.11
Vuissens,26.5,29.08.12
Steffisburg,26.5,17.04.14
Kloten,26.5,13.12.13
Schangnau,26.5,19.06.14
Schangnau,26.5,21.03.16
Brig,26.5,22.09.16
Eichberg,26.5,22.05.14
Thierachern,26.6,23.09.12
Appenzell,26.6,30.08.12
Fontenais,26.6,28.11.11
Siselen,26.6,13.11.07
Küblis,26.6,20.12.11
Kernenried,26.6,14.10.11
Winterthur,26.6,22.09.11
Hinterforst,26.7,04.10.07
Gunzwil,26.7,07.12.11
Selzach,26.7,30.12.12
Hombrechtikon,26.7,26.03.15
Hergiswil b. Willisau,26.8,19.09.11
Seedorf,26.8,09.12.11
Plan-les-Ouates,26.9,19.06.09
Le Lignon,26.9,10.05.10
Gelfingen,26.9,22.01.15
Rothenburg,26.9,11.02.16
Lechelles,26.9,30.05.08
Zimmerwald,26.9,28.01.08
Sulz,26.9,01.03.08
Gohl (BE),26.9,01.12.11
Wattenwil,26.9,28.03.12
Kreuzlingen,26.9,28.09.15
Gutenburg,27,28.09.12
Grasswil,27,15.05.09
Gerlafingen,27,29.09.12
Gümmenen,27,19.07.13
Zürich,27,05.12.11
Münsingen,27,16.12.11
Wölflinswil,27,27.01.12
Murzelen,27,30.07.12
Burgdorf,27,29.11.11
Wil,27,23.12.11
Spiegel b.Bern,27,21.12.11
Sarnen,27,13.04.11
Gonten,27.1,08.09.16
Oberdiessbach,27.1,25.09.12
Cudrefin,27.1,01.04.09
Gams,27.1,23.12.09
Waldkirch,27.1,20.12.11
Mellikon,27.2,12.11.10
Naters,27.3,20.12.12
Provence,27.3,30.03.09
Sigigen,27.3,31.05.10
Luzein,27.3,25.03.15
Röthenbach,27.3,27.03.15
Muttenz,27.4,21.11.11
Spiez,27.4,06.08.13
Schmidrüti,27.4,10.12.11
Ilanz,27.4,05.02.15
Kilchberg,27.4,08.11.11
Tenna,27.5,19.12.11
Ayent,27.5,01.10.12
Eschenbach,27.5,29.09.09
Vattiz,27.5,25.03.15
Läufelfingen,27.5,09.12.14
Wittnau,27.5,29.08.12
Wollerau,27.5,06.11.12
Mörschwil,27.6,02.05.14
Etoy,27.6,18.08.09
Waldkirch,27.6,20.06.12
Elsau,27.6,26.04.11
Freidorf,27.7,22.05.15
Gland,27.7,22.12.11
Recherswil,27.7,06.12.11
Unterstammheim,27.7,12.11.10
Arnegg,27.7,28.06.11
Niederbüren,27.7,12.07.11
Mühlrüti,27.7,30.04.12
Davos Clavadel,27.7,21.12.12
Küttigen,27.7,15.12.09
Thalheim,27.7,21.12.11
Seewis Dorf,27.8,11.08.08
Sissach,27.8,18.08.14
Kappel am Albis,27.8,06.07.12
Oberhof,27.8,23.03.15
Dornach,27.8,28.02.12
St. Gallen,27.8,15.02.12
Oberdiessbach,27.9,18.01.12
Heitenried,27.9,23.12.08
Trübbach,27.9,06.10.08
Leuk-Stadt,27.9,29.11.11
Horw,27.9,25.11.11
Gränichen,28,13.09.11
Goldau,28,09.12.09
Eschenbach,28,25.11.09
Saint-Livres,28,28.09.12
Illighausen,28,02.01.15
Buttenried,28,14.11.11
Zweisimmen,28,15.12.11
Grosswangen,28,27.09.12
Aesch LU,28,10.07.15
